jonathan swaggered to and fro before his private army . | 2(2)
he took a step towards her , then another , until he stood before her , face to face . | 2(2)
simon had disappeared into the crowd still milling about the hall , and fitzalan was standing before her . | 2(2)
she stands before me solid as a rivet . | 2(2)
mortimer and isabella were hurried off to london and arraigned before parliament in november . | 3(2a)
he had been arraigned before the gmc twice before , both times for canvassing . | 3(2a)
in the main cities , the early primitive stations were replaced by grandiloquent specimens in the last years of the nineteenth century and in the decade before the first world war . | 1(1)
anyone who fancies any of these items should phone their bid to any of the following numbers before 8pm on june 1 -- portadown 331013 , 330209 or loughgall 891605 . | 1(1)
we rang anthony before lunch and told him to buy it . | 1(1)
i do n't remember what happened to the cross-over , i rather think i foisted it on a mother before i moved house . | 1(1)
he drew on socks , a tight pair of italian jeans , and plimsolls , combed his receding hair before a mirror . | 2(2)
the government argued before the commission last friday that the killings were lawful -- a view already expressed at a british inquest into the deaths . | 1(1)
this was the policy that general powell argued before george bush when the united states invaded panama in december 1989 , and when iraq went into kuwait in 1990 . | 3(2a)
if whole blood is allowed to clot before separation of the serum , early post-implantation rat embryos suffer a higher incidence of abnormalities and reduced growth ( 21 ) . | 1(1)
they are smooth and stiff but will serve if i scrunch them up before use . | 1(1)
this will be the position provided the goods perished before any had been delivered to the buyer . | 3(2a)
when we did the rehearsal again and steven got it right i asked myself , has he played this scene before ? | 1(1)
he leans down , squatting before me . | 2(2)
she went over and crouched down before her chair , so that their faces were level . | 2(2)
but if sarb and saru did unite before then , given the personalities involved , can the irb be absolutely assured that unity between sarb and saru will still prevail in 1995 ? | 1(1)
